trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1a_T01,07:00:00,07:00:00,101,1,Washburns/200 Line,,,0.568
R1a_T01,07:08:00,07:08:00,102,2,Washburns/200 Line,,,5.797
R1a_T01,07:13:00,07:13:00,103,3,Washburns/200 Line,,,7.546
R1a_T01,,,104,4,Washburns/200 Line,,,8.086
R1a_T01,,,105,5,Washburns/200 Line,,,8.207
R1a_T01,,,106,6,Washburns/200 Line,,,8.68
R1a_T01,07:18:00,07:18:00,107,7,Washburns/200 Line,,,8.912
R1a_T01,,,108,8,Washburns/200 Line,,,9.34
R1a_T01,,,109,9,Washburns/200 Line,,,9.619
R1a_T01,,,125,10,Washburns/200 Line,1,,10.159
R1a_T01,07:27:00,07:27:00,110,11,Washburns/200 Line,,,12.23
R1a_T02,07:55:30,07:55:30,100,1,Washburns/200 Line,,,0
R1a_T02,08:00:00,08:00:00,101,2,Washburns/200 Line,,,0.568
R1a_T02,08:08:00,08:08:00,102,3,Washburns/200 Line,,,5.797
R1a_T02,08:13:00,08:13:00,103,4,Washburns/200 Line,,,7.546
R1a_T02,,,104,5,Washburns/200 Line,,,8.086
R1a_T02,,,105,6,Washburns/200 Line,,,8.207
R1a_T02,,,106,7,Washburns/200 Line,,,8.68
R1a_T02,08:18:00,08:18:00,107,8,Washburns/200 Line,,,8.912
R1a_T02,,,108,9,Washburns/200 Line,,,9.34
R1a_T02,,,109,10,Washburns/200 Line,,,9.619
R1a_T02,,,125,11,Washburns/200 Line,1,,10.159
R1a_T02,08:27:00,08:27:00,110,12,Washburns/200 Line,,,12.23
R1a_T03,08:55:30,08:55:30,100,1,Washburns/200 Line,,,0
R1a_T03,09:00:00,09:00:00,101,2,Washburns/200 Line,,,0.568
R1a_T03,09:08:00,09:08:00,102,3,Washburns/200 Line,,,5.797
R1a_T03,09:13:00,09:13:00,103,4,Washburns/200 Line,,,7.546
R1a_T03,,,104,5,Washburns/200 Line,,,8.086
R1a_T03,,,105,6,Washburns/200 Line,,,8.207
R1a_T03,,,106,7,Washburns/200 Line,,,8.68
R1a_T03,09:18:00,09:18:00,107,8,Washburns/200 Line,,,8.912
R1a_T03,,,108,9,Washburns/200 Line,,,9.34
R1a_T03,,,109,10,Washburns/200 Line,,,9.619
R1a_T03,,,125,11,Washburns/200 Line,1,,10.159
R1a_T03,09:27:00,09:27:00,110,12,Washburns/200 Line,,,12.23
R1b_T01,07:27:30,07:27:30,110,1,Washburns/Tribal Center,,,12.23
R1b_T01,,,111,2,Washburns/Tribal Center,,,12.721
R1b_T01,07:30:00,07:30:00,112,3,Washburns/Tribal Center,,,14.899
R1b_T01,07:31:00,07:31:00,113,4,Washburns/Tribal Center,,,15.102
R1b_T01,,,114,5,Washburns/Tribal Center,,,15.765
R1b_T01,07:33:00,07:33:00,115,6,Washburns/Tribal Center,,,15.97
R1b_T01,,,116,7,Washburns/Tribal Center,,,16.311
